url	status	redirects_to	note
https://sendmoneycompare.com/send-money/hong-kong-to-ghana	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-indonesia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-kenya	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-mexico	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-peru	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-south-korea	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-ukraine	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-vietnam	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/india-to-ecuador	301	/send-money/india-to-usa	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/india-to-el-salvador	301	/send-money/india-to-usa	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/india-to-europe	301	/send-money/india-to-croatia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/india-to-germany	301	/send-money/india-to-croatia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/india-to-panama	301	/send-money/india-to-usa	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/india-to-spain	301	/send-money/india-to-croatia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/ireland-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/ireland-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/ireland-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/ireland-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/italy-to-cameroon	301	/send-money/austria-to-cameroon	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/italy-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/italy-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/italy-to-rwanda	404		outside the corridor allowlist (404)
